x,y,text,color
77,184,DRAMA,#ff3399
40,260,The Deaf / Hearing impaired,#ff3399
100,250,MUSICIAN,#ff3399
40,300,Mixed non exclusivist communities of practice,#ff3399
100,310,IMPROVISOR,#ff3399
38,350,PERSON ON THE CLAPHAM OMNIBUS,#ff3399
75,360,NIME,#ff3399
145,350,INSTRUMENT MAKER,#ff3399
147,400,DESIGN,#ff3399
75,450,ARS INDUSTRIALIS,#ff3399
130,440,ACOUSTICS,#ff3399
145,475,DYNAMICAL SYSTEMS,#ff3399
190,470,HCI,#ff3399
160,530,RSPB,#ff3399
205,520,ECOLOGY,#ff3399
195,575,FARMERS,#ff3399
290,475,CYBERNETICS,#ff3399
375,475,MACHINE LISTENING,#ff3399
445,475,COMPUTER SCIENCE,#ff3399
350,550,MACHINE LEARNING INDUSTRY,#ff3399
442,300,PHILOSOPHY,#ff3399
200,100,COGNITIVE SCIENCE,#ff3399
350,90,PCYCHOLOGISTS,#ff3399
450,10,ANTHROPOLOGY,#ff3399
450,75,ANTHROPOLOGIST,#ff3399
440,110,SOCIAL SCIENCE 2ndry ANALYSIS & BIG DATA PEOPLE,#ff3399
560,100,MUSICOLOGY & MUSIC PRACTICE,#ff3399
650,100,DIGITAL HUMANITIES,#ff3399
720,110,Media Art Histories,#ff3399
710,160,HISTORY,#ff3399
780,165,Experimental Media Archaeology,#ff3399
790,200,CULTURAL & MEDIA THEORIST,#ff3399
875,250,SCIENCE & TECHNOLOGY STUDIES,#ff3399
760,265,SOFTWARE STUDIES,#ff3399
795,380,MEDIA & COMMS,#ff3399
810,310,CULTURAL STUDIES,#ff3399
780,365,CRITICAL THEORY,#ff3399
775,495,DATA SCIENTISTS,#ff3399
780,475,(PARA) LINGUISTICS ,#ff3399
770,500,OPEN DATA SOCIETY... ???,#ff3399
880,490,POLICY MAKERS ???,#ff3399
880,550,JUDICIARY,#ff3399
185,190,degenerative consensual not-works,#ffff66
150,225,ROLE OF ARTIST IN PUBLIC (what is the arrow?) ???,#ffff66
210,225,HOW TO MAKE USABLE FOR NON RESEARCH COMMUNITIES,#ffff66
150,270,Do we need to incorporate the tactile (or other modalities) in our conception of machine listening?,#ffff66
225,270,listening informed sound synthesis/ performance,#ffff66
150,300,How can we use machine listening for music creation?,#ffff66
225,300,How do we represent the output of listening algorithms for humans?,#ffff66
150,350,How can we explore human/machine collaborative listening?,#ffff66
230,350,How can we use machine listening to make speech-based interaction tools?,#ffff66
150,400,How can we emphasise the inter-subjective nature of machine listening?,#ffff66
